Instancia;Tempo Medio;Melhor Solucao;Solucao Media;#1T;#1S;#2T;#2S;#3T;#3S;#4T;#4S;#5T;#5S;#6T;#6S;#7T;#7S;#8T;#8S;#9T;#9S;#10T;#10S;#11T;#11S;#12T;#12S;#13T;#13S;#14T;#14S;#15T;#15S;#16T;#16S;#17T;#17S;#18T;#18S;#19T;#19S;#20T;#20S;
SOM-a_9_n25_m7;32.8;265.0;265.0;31.0;265.0;46.0;265.0;29.0;265.0;38.0;265.0;31.0;265.0;30.0;265.0;31.0;265.0;29.0;265.0;30.0;265.0;29.0;265.0;29.0;265.0;49.0;265.0;29.0;265.0;31.0;265.0;29.0;265.0;28.0;265.0;33.0;265.0;32.0;265.0;29.0;265.0;43.0;265.0;
SOM-a_22_n100_m10;165.4;947.0;944.55;155.0;947.0;168.0;947.0;154.0;947.0;153.0;898.0;155.0;947.0;162.0;947.0;155.0;947.0;191.0;947.0;172.0;947.0;158.0;947.0;153.0;947.0;182.0;947.0;162.0;947.0;158.0;947.0;159.0;947.0;184.0;947.0;172.0;947.0;179.0;947.0;165.0;947.0;171.0;947.0;
SOM-a_1_n25_m2;21.35;17.0;17.0;20.0;17.0;21.0;17.0;19.0;17.0;19.0;17.0;19.0;17.0;18.0;17.0;19.0;17.0;36.0;17.0;19.0;17.0;19.0;17.0;19.0;17.0;20.0;17.0;19.0;17.0;22.0;17.0;19.0;17.0;20.0;17.0;20.0;17.0;41.0;17.0;19.0;17.0;19.0;17.0;
SOM-a_3_n25_m2;24.05;20.0;20.0;20.0;20.0;23.0;20.0;19.0;20.0;19.0;20.0;19.0;20.0;41.0;20.0;20.0;20.0;19.0;20.0;38.0;20.0;42.0;20.0;19.0;20.0;19.0;20.0;19.0;20.0;31.0;20.0;19.0;20.0;19.0;20.0;36.0;20.0;20.0;20.0;19.0;20.0;20.0;20.0;
SOM-a_23_n100_m10;186.75;904.0;904.0;197.0;904.0;188.0;904.0;188.0;904.0;174.0;904.0;195.0;904.0;217.0;904.0;175.0;904.0;182.0;904.0;197.0;904.0;177.0;904.0;192.0;904.0;176.0;904.0;202.0;904.0;190.0;904.0;175.0;904.0;172.0;904.0;186.0;904.0;190.0;904.0;175.0;904.0;187.0;904.0;
SOM-a_34_n125_m12;294.15;1216.0;1215.5;324.0;1216.0;312.0;1211.0;286.0;1216.0;303.0;1216.0;271.0;1216.0;283.0;1216.0;271.0;1216.0;288.0;1216.0;294.0;1216.0;290.0;1216.0;317.0;1211.0;292.0;1216.0;296.0;1216.0;278.0;1216.0;284.0;1216.0;320.0;1216.0;290.0;1216.0;302.0;1216.0;302.0;1216.0;280.0;1216.0;
SOM-a_42_n150_m15;565.75;1906.0;1904.95;554.0;1906.0;618.0;1906.0;530.0;1906.0;594.0;1906.0;622.0;1906.0;546.0;1906.0;539.0;1899.0;553.0;1906.0;580.0;1906.0;597.0;1906.0;554.0;1906.0;560.0;1906.0;572.0;1906.0;591.0;1899.0;552.0;1906.0;550.0;1906.0;548.0;1906.0;553.0;1906.0;542.0;1906.0;560.0;1899.0;
SOM-a_46_n150_m45;4358.8;10659.0;10617.0;4368.0;10659.0;4327.0;10659.0;4457.0;10449.0;4311.0;10659.0;4342.0;10449.0;4297.0;10659.0;4249.0;10659.0;4381.0;10659.0;4338.0;10659.0;4408.0;10659.0;4440.0;10659.0;4410.0;10659.0;4437.0;10659.0;4364.0;10449.0;4209.0;10659.0;4321.0;10449.0;4411.0;10659.0;4413.0;10659.0;4335.0;10659.0;4358.0;10659.0;
SOM-a_43_n150_m15;638.85;1873.0;1870.7;589.0;1873.0;611.0;1873.0;583.0;1873.0;563.0;1873.0;559.0;1873.0;620.0;1873.0;581.0;1873.0;590.0;1873.0;604.0;1873.0;603.0;1873.0;631.0;1873.0;580.0;1850.0;598.0;1873.0;644.0;1850.0;574.0;1873.0;609.0;1873.0;600.0;1873.0;1489.0;1873.0;577.0;1873.0;572.0;1873.0;
SOM-a_20_n50_m15;85.1;1217.0;1217.0;81.0;1217.0;82.0;1217.0;81.0;1217.0;85.0;1217.0;80.0;1217.0;82.0;1217.0;83.0;1217.0;80.0;1217.0;85.0;1217.0;79.0;1217.0;79.0;1217.0;115.0;1217.0;107.0;1217.0;79.0;1217.0;78.0;1217.0;81.0;1217.0;93.0;1217.0;86.0;1217.0;82.0;1217.0;84.0;1217.0;
SOM-a_48_n150_m45;3637.65;11338.0;11315.8;3683.0;11338.0;3617.0;11338.0;3550.0;11338.0;3632.0;11338.0;3586.0;11338.0;3620.0;11338.0;3657.0;11338.0;3627.0;11338.0;3606.0;11338.0;3630.0;11338.0;3703.0;11338.0;3589.0;11190.0;3587.0;11190.0;3658.0;11338.0;3642.0;11190.0;3670.0;11338.0;3576.0;11338.0;3856.0;11338.0;3650.0;11338.0;3614.0;11338.0;
SOM-a_18_n50_m15;91.75;1327.0;1327.0;87.0;1327.0;103.0;1327.0;89.0;1327.0;83.0;1327.0;94.0;1327.0;93.0;1327.0;86.0;1327.0;87.0;1327.0;101.0;1327.0;85.0;1327.0;86.0;1327.0;88.0;1327.0;108.0;1327.0;88.0;1327.0;102.0;1327.0;88.0;1327.0;101.0;1327.0;96.0;1327.0;86.0;1327.0;84.0;1327.0;
SOM-a_26_n100_m30;726.8;5424.0;5424.0;724.0;5424.0;764.0;5424.0;745.0;5424.0;733.0;5424.0;720.0;5424.0;708.0;5424.0;726.0;5424.0;724.0;5424.0;729.0;5424.0;750.0;5424.0;743.0;5424.0;714.0;5424.0;733.0;5424.0;712.0;5424.0;719.0;5424.0;703.0;5424.0;717.0;5424.0;720.0;5424.0;717.0;5424.0;735.0;5424.0;
SOM-a_16_n50_m15;109.65;1391.0;1391.0;119.0;1391.0;116.0;1391.0;120.0;1391.0;116.0;1391.0;116.0;1391.0;96.0;1391.0;152.0;1391.0;95.0;1391.0;95.0;1391.0;109.0;1391.0;113.0;1391.0;92.0;1391.0;96.0;1391.0;135.0;1391.0;103.0;1391.0;107.0;1391.0;95.0;1391.0;105.0;1391.0;119.0;1391.0;94.0;1391.0;
SOM-a_29_n100_m30;706.9;5452.0;5452.0;686.0;5452.0;741.0;5452.0;697.0;5452.0;701.0;5452.0;713.0;5452.0;705.0;5452.0;697.0;5452.0;732.0;5452.0;690.0;5452.0;710.0;5452.0;686.0;5452.0;740.0;5452.0;718.0;5452.0;700.0;5452.0;689.0;5452.0;723.0;5452.0;707.0;5452.0;710.0;5452.0;688.0;5452.0;705.0;5452.0;
