Instancia;Tempo Medio;Melhor Solucao;Solucao Media;#1T;#1S;#2T;#2S;#3T;#3S;#4T;#4S;#5T;#5S;#6T;#6S;#7T;#7S;#8T;#8S;#9T;#9S;#10T;#10S;#11T;#11S;#12T;#12S;#13T;#13S;#14T;#14S;#15T;#15S;#16T;#16S;#17T;#17S;#18T;#18S;#19T;#19S;#20T;#20S;
GKD-a_35_n15_m4;21.7;1052.8087100000002;1052.8087100000007;22.0;1052.8087100000002;18.0;1052.8087100000002;18.0;1052.8087100000002;31.0;1052.8087100000002;32.0;1052.8087100000002;20.0;1052.8087100000002;19.0;1052.8087100000002;25.0;1052.8087100000002;19.0;1052.8087100000002;17.0;1052.8087100000002;23.0;1052.8087100000002;18.0;1052.8087100000002;17.0;1052.8087100000002;32.0;1052.8087100000002;22.0;1052.8087100000002;22.0;1052.8087100000002;18.0;1052.8087100000002;22.0;1052.8087100000002;18.0;1052.8087100000002;21.0;1052.8087100000002;
GKD-a_36_n15_m6;24.4;5981.8136700000005;5981.813670000002;22.0;5981.8136700000005;35.0;5981.8136700000005;32.0;5981.8136700000005;19.0;5981.8136700000005;19.0;5981.8136700000005;39.0;5981.8136700000005;19.0;5981.8136700000005;23.0;5981.8136700000005;28.0;5981.8136700000005;41.0;5981.8136700000005;19.0;5981.8136700000005;22.0;5981.8136700000005;21.0;5981.8136700000005;20.0;5981.8136700000005;22.0;5981.8136700000005;20.0;5981.8136700000005;22.0;5981.8136700000005;21.0;5981.8136700000005;22.0;5981.8136700000005;22.0;5981.8136700000005;
GKD-a_34_n15_m4;22.8;2009.3603400000002;2009.3603399999997;18.0;2009.3603400000002;18.0;2009.3603400000002;17.0;2009.3603400000002;18.0;2009.3603400000002;19.0;2009.3603400000002;16.0;2009.3603400000002;38.0;2009.3603400000002;17.0;2009.3603400000002;21.0;2009.3603400000002;17.0;2009.3603400000002;36.0;2009.3603400000002;39.0;2009.3603400000002;19.0;2009.3603400000002;19.0;2009.3603400000002;17.0;2009.3603400000002;18.0;2009.3603400000002;18.0;2009.3603400000002;49.0;2009.3603400000002;22.0;2009.3603400000002;20.0;2009.3603400000002;
GKD-a_63_n30_m12;40.85;29853.065210000004;29853.06521000002;39.0;29853.065210000004;39.0;29853.065210000004;39.0;29853.065210000004;37.0;29853.065210000004;37.0;29853.065210000004;37.0;29853.065210000004;41.0;29853.065210000004;38.0;29853.065210000004;38.0;29853.065210000004;58.0;29853.065210000004;39.0;29853.065210000004;37.0;29853.065210000004;41.0;29853.065210000004;41.0;29853.065210000004;41.0;29853.065210000004;39.0;29853.065210000004;47.0;29853.065210000004;45.0;29853.065210000004;42.0;29853.065210000004;42.0;29853.065210000004;
GKD-a_71_n30_m24;62.5;44458.245630000005;44458.24563000001;62.0;44458.245630000005;61.0;44458.245630000005;58.0;44458.245630000005;58.0;44458.245630000005;64.0;44458.245630000005;66.0;44458.245630000005;63.0;44458.245630000005;62.0;44458.245630000005;73.0;44458.245630000005;82.0;44458.245630000005;58.0;44458.245630000005;57.0;44458.245630000005;60.0;44458.245630000005;58.0;44458.245630000005;62.0;44458.245630000005;61.0;44458.245630000005;64.0;44458.245630000005;60.0;44458.245630000005;60.0;44458.245630000005;61.0;44458.245630000005;
GKD-a_73_n30_m24;59.6;31312.161759999977;31312.161759999977;53.0;31312.161759999977;51.0;31312.161759999977;55.0;31312.161759999977;49.0;31312.161759999977;47.0;31312.161759999977;54.0;31312.161759999977;82.0;31312.161759999977;49.0;31312.161759999977;61.0;31312.161759999977;70.0;31312.161759999977;53.0;31312.161759999977;52.0;31312.161759999977;69.0;31312.161759999977;76.0;31312.161759999977;49.0;31312.161759999977;67.0;31312.161759999977;62.0;31312.161759999977;52.0;31312.161759999977;74.0;31312.161759999977;67.0;31312.161759999977;
GKD-a_30_n15_m3;19.75;946.0900700000001;946.0900699999999;15.0;946.0900700000001;16.0;946.0900700000001;23.0;946.0900700000001;16.0;946.0900700000001;36.0;946.0900700000001;14.0;946.0900700000001;37.0;946.0900700000001;40.0;946.0900700000001;15.0;946.0900700000001;15.0;946.0900700000001;23.0;946.0900700000001;15.0;946.0900700000001;15.0;946.0900700000001;15.0;946.0900700000001;17.0;946.0900700000001;15.0;946.0900700000001;19.0;946.0900700000001;16.0;946.0900700000001;16.0;946.0900700000001;17.0;946.0900700000001;
GKD-a_32_n15_m4;22.3;1612.3738400000007;1612.3738400000004;18.0;1612.3738400000007;23.0;1612.3738400000007;17.0;1612.3738400000007;19.0;1612.3738400000007;49.0;1612.3738400000007;20.0;1612.3738400000007;21.0;1612.3738400000007;21.0;1612.3738400000007;18.0;1612.3738400000007;39.0;1612.3738400000007;18.0;1612.3738400000007;17.0;1612.3738400000007;19.0;1612.3738400000007;18.0;1612.3738400000007;17.0;1612.3738400000007;30.0;1612.3738400000007;26.0;1612.3738400000007;19.0;1612.3738400000007;18.0;1612.3738400000007;19.0;1612.3738400000007;
GKD-a_31_n15_m4;22.35;1620.35477;1620.3547699999992;18.0;1620.35477;18.0;1620.35477;21.0;1620.35477;19.0;1620.35477;18.0;1620.35477;29.0;1620.35477;18.0;1620.35477;18.0;1620.35477;23.0;1620.35477;18.0;1620.35477;22.0;1620.35477;20.0;1620.35477;32.0;1620.35477;17.0;1620.35477;40.0;1620.35477;17.0;1620.35477;18.0;1620.35477;29.0;1620.35477;31.0;1620.35477;21.0;1620.35477;
GKD-a_33_n15_m4;18.8;2780.9035400000002;2780.90354;18.0;2780.9035400000002;22.0;2780.9035400000002;18.0;2780.9035400000002;18.0;2780.9035400000002;17.0;2780.9035400000002;18.0;2780.9035400000002;17.0;2780.9035400000002;17.0;2780.9035400000002;18.0;2780.9035400000002;22.0;2780.9035400000002;16.0;2780.9035400000002;24.0;2780.9035400000002;17.0;2780.9035400000002;17.0;2780.9035400000002;20.0;2780.9035400000002;17.0;2780.9035400000002;18.0;2780.9035400000002;23.0;2780.9035400000002;19.0;2780.9035400000002;20.0;2780.9035400000002;
GKD-a_37_n15_m6;23.25;4797.782600000001;4797.782600000002;19.0;4797.782600000001;31.0;4797.782600000001;18.0;4797.782600000001;21.0;4797.782600000001;19.0;4797.782600000001;18.0;4797.782600000001;19.0;4797.782600000001;18.0;4797.782600000001;19.0;4797.782600000001;20.0;4797.782600000001;19.0;4797.782600000001;20.0;4797.782600000001;49.0;4797.782600000001;20.0;4797.782600000001;42.0;4797.782600000001;18.0;4797.782600000001;25.0;4797.782600000001;19.0;4797.782600000001;28.0;4797.782600000001;23.0;4797.782600000001;
GKD-a_38_n15_m6;24.85;4544.62223;4544.622229999999;19.0;4544.62223;20.0;4544.62223;42.0;4544.62223;27.0;4544.62223;19.0;4544.62223;21.0;4544.62223;22.0;4544.62223;19.0;4544.62223;20.0;4544.62223;39.0;4544.62223;46.0;4544.62223;37.0;4544.62223;21.0;4544.62223;19.0;4544.62223;19.0;4544.62223;21.0;4544.62223;22.0;4544.62223;21.0;4544.62223;22.0;4544.62223;21.0;4544.62223;
GKD-a_39_n15_m6;19.15;3860.3021099999996;3860.3021099999996;18.0;3860.3021099999996;18.0;3860.3021099999996;18.0;3860.3021099999996;17.0;3860.3021099999996;17.0;3860.3021099999996;17.0;3860.3021099999996;41.0;3860.3021099999996;21.0;3860.3021099999996;19.0;3860.3021099999996;18.0;3860.3021099999996;18.0;3860.3021099999996;17.0;3860.3021099999996;17.0;3860.3021099999996;17.0;3860.3021099999996;17.0;3860.3021099999996;18.0;3860.3021099999996;18.0;3860.3021099999996;21.0;3860.3021099999996;18.0;3860.3021099999996;18.0;3860.3021099999996;
