Instancia;Tempo Medio;Melhor Solucao;Solucao Media;#1T;#1S;#2T;#2S;#3T;#3S;#4T;#4S;#5T;#5S;#6T;#6S;#7T;#7S;#8T;#8S;#9T;#9S;#10T;#10S;#11T;#11S;#12T;#12S;#13T;#13S;#14T;#14S;#15T;#15S;#16T;#16S;#17T;#17S;#18T;#18S;#19T;#19S;#20T;#20S;
GKD-b_9_n25_m7;33.95;4148.35285;4148.35285;41.0;4148.35285;28.0;4148.35285;31.0;4148.35285;28.0;4148.35285;27.0;4148.35285;41.0;4148.35285;50.0;4148.35285;61.0;4148.35285;29.0;4148.35285;39.0;4148.35285;28.0;4148.35285;30.0;4148.35285;29.0;4148.35285;27.0;4148.35285;28.0;4148.35285;42.0;4148.35285;27.0;4148.35285;36.0;4148.35285;29.0;4148.35285;28.0;4148.35285;
GKD-b_27_n100_m30;614.4;68229.52912000008;68185.07076450008;593.0;68229.52912000008;607.0;68229.52912000008;630.0;68229.52912000008;612.0;68229.52912000008;605.0;68229.52912000008;605.0;68229.52912000008;597.0;68229.52912000008;621.0;68229.52912000008;627.0;68229.52912000008;628.0;68229.52912000008;633.0;68229.52912000008;641.0;68229.52912000008;605.0;68229.52912000008;598.0;67340.3620100001;612.0;68229.52912000008;624.0;68229.52912000008;595.0;68229.52912000008;641.0;68229.52912000008;606.0;68229.52912000008;608.0;68229.52912000008;
GKD-b_50_n150_m45;3268.8;265467.1305999998;265448.81126199977;3250.0;265467.1305999998;3264.0;265467.1305999998;3314.0;265467.1305999998;3302.0;265345.00167999946;3271.0;265467.1305999998;3217.0;265467.1305999998;3228.0;265467.1305999998;3235.0;265467.1305999998;3313.0;265467.1305999998;3284.0;265467.1305999998;3300.0;265467.1305999998;3203.0;265467.1305999998;3259.0;265467.1305999998;3255.0;265467.1305999998;3264.0;265467.1305999998;3260.0;265345.00167999946;3249.0;265467.1305999998;3374.0;265467.1305999998;3264.0;265345.00167999946;3270.0;265467.1305999998;
GKD-b_5_n25_m2;23.75;641.50912;641.5091200000002;50.0;641.50912;20.0;641.50912;20.0;641.50912;38.0;641.50912;21.0;641.50912;20.0;641.50912;19.0;641.50912;20.0;641.50912;21.0;641.50912;19.0;641.50912;27.0;641.50912;19.0;641.50912;30.0;641.50912;19.0;641.50912;27.0;641.50912;20.0;641.50912;19.0;641.50912;22.0;641.50912;20.0;641.50912;24.0;641.50912;
GKD-b_1_n25_m2;25.8;356.23872;356.23872000000006;21.0;356.23872;21.0;356.23872;34.0;356.23872;20.0;356.23872;19.0;356.23872;44.0;356.23872;23.0;356.23872;36.0;356.23872;33.0;356.23872;23.0;356.23872;33.0;356.23872;34.0;356.23872;19.0;356.23872;19.0;356.23872;20.0;356.23872;37.0;356.23872;20.0;356.23872;20.0;356.23872;20.0;356.23872;20.0;356.23872;
GKD-b_3_n25_m2;24.7;450.72143000000005;450.7214299999999;44.0;450.72143000000005;22.0;450.72143000000005;20.0;450.72143000000005;21.0;450.72143000000005;53.0;450.72143000000005;21.0;450.72143000000005;20.0;450.72143000000005;32.0;450.72143000000005;21.0;450.72143000000005;35.0;450.72143000000005;20.0;450.72143000000005;20.0;450.72143000000005;20.0;450.72143000000005;21.0;450.72143000000005;20.0;450.72143000000005;21.0;450.72143000000005;21.0;450.72143000000005;22.0;450.72143000000005;20.0;450.72143000000005;20.0;450.72143000000005;
GKD-b_48_n150_m45;2516.65;292253.55239999975;291987.6343499997;2484.0;292253.55239999975;2484.0;292253.55239999975;2539.0;292253.55239999975;2497.0;292253.55239999975;2531.0;292253.55239999975;2514.0;289594.37189999974;2509.0;292253.55239999975;2547.0;292253.55239999975;2576.0;289594.37189999974;2532.0;292253.55239999975;2524.0;292253.55239999975;2506.0;292253.55239999975;2591.0;292253.55239999975;2555.0;292253.55239999975;2472.0;292253.55239999975;2484.0;292253.55239999975;2475.0;292253.55239999975;2491.0;292253.55239999975;2496.0;292253.55239999975;2526.0;292253.55239999975;
GKD-b_45_n150_m15;574.6;48260.024900000004;48239.30614999999;575.0;48260.024900000004;593.0;48260.024900000004;569.0;48260.024900000004;579.0;48156.43115000001;564.0;48260.024900000004;564.0;48260.024900000004;574.0;48260.024900000004;575.0;48260.024900000004;573.0;48260.024900000004;594.0;48260.024900000004;580.0;48156.43115000001;569.0;48260.024900000004;554.0;48260.024900000004;584.0;48156.43115000001;576.0;48260.024900000004;571.0;48156.43115000001;572.0;48260.024900000004;574.0;48260.024900000004;572.0;48260.024900000004;580.0;48260.024900000004;
GKD-b_10_n25_m7;30.05;9490.694489999998;9490.694489999996;35.0;9490.694489999998;28.0;9490.694489999998;27.0;9490.694489999998;27.0;9490.694489999998;51.0;9490.694489999998;27.0;9490.694489999998;29.0;9490.694489999998;28.0;9490.694489999998;28.0;9490.694489999998;34.0;9490.694489999998;31.0;9490.694489999998;27.0;9490.694489999998;30.0;9490.694489999998;28.0;9490.694489999998;30.0;9490.694489999998;28.0;9490.694489999998;28.0;9490.694489999998;28.0;9490.694489999998;29.0;9490.694489999998;28.0;9490.694489999998;
GKD-b_39_n125_m37;1356.2;195139.72304999968;195132.7286424997;1335.0;195139.72304999968;1328.0;195139.72304999968;1349.0;195139.72304999968;1391.0;195139.72304999968;1349.0;195139.72304999968;1373.0;194999.83489999967;1373.0;195139.72304999968;1337.0;195139.72304999968;1393.0;195139.72304999968;1389.0;195139.72304999968;1357.0;195139.72304999968;1346.0;195139.72304999968;1392.0;195139.72304999968;1348.0;195139.72304999968;1342.0;195139.72304999968;1319.0;195139.72304999968;1330.0;195139.72304999968;1374.0;195139.72304999968;1368.0;195139.72304999968;1331.0;195139.72304999968;
